Title,Price,Bedrooms,Bathrooms,Longitude,Latitude
"Barcelona, La Dreta de l'Eixample",3410,2,2,2.1658305,41.3871755
"Barcelona, Sagrada Familia",1940,1,1,2.1800265,41.4037667
"Athens, Kifisia",1140,1,1,23.819404899999995,38.0752064
"Athens, Kifisia",1890,2,2,23.825687399999993,38.0774229
"Athens, Papagou",1290,3,1,23.7903392,37.9796109
"Athens, Kifisia",2030,4,2,23.8220679,38.0785157
"Barcelona, La Dreta de l'Eixample",2230,1,1,2.1658305,41.3871755
"Berlin, Charlottenburg",1900,1,1,13.3322221,52.4973173
"Berlin, Friedrichshain",1940,1,1,13.4406259,52.5050299
"Berlin, Friedrichshain",1120,0,1,13.4583393,52.51099749999999
"Berlin, Friedrichshain",1750,1,1,13.4622975,52.50969419999999
"Berlin, Charlottenburg",4590,3,2,13.3257354,52.5234877
"Athens, Neo Psychiko",1510,2,1,23.775654300000042,37.9978379
"Athens, Vouliagmeni",1130,1,1,23.78019459999996,37.81896889999999
"Athens, Vrilissia",1820,2,2,23.848924799999963,38.0453831
"Istanbul, Gayrettepe",2061,1,1,29.00953890290225,41.062567698048134
"Berlin, Prenzlauer Berg",1790,1,1,13.4144614,52.5516337
"Istanbul, Gayrettepe",1856,1,1,29.00953890290225,41.062567698048134
"London, Aldgate",3518,1,1,-0.07351329999999999,51.5147293
"London, Bayswater",2879,0,1,-0.1809884,51.5116698
"Athens, Vasilissis Sofias Avenue",1240,2,1,23.75390749999997,37.9759375
"Athens, Agia Paraskevi",1480,3,2,23.8156025,38.0087205
"Lisbon, Lapa",2450,1,1,-9.1608888,38.70589919999999
"Lisbon, Baixa",2380,1,1,-9.1388485,38.7141408
"London, Bayswater",3309,1,1,-0.1931213,51.5148751
"Athens, Elliniko",2000,2,1,23.7454993,37.889124
"Athens, Acropolis",1350,2,1,23.7240975,37.96827789999999
"Athens, Marousi",1200,2,1,23.811415,38.0349458
"Athens, Vasilissis Sofias Avenue",1120,2,2,23.764457100000072,37.98557050000001
"Athens, Pangrati",990,2,1,23.75198109999999,37.9718738
"Athens, Kolonaki",910,2,1,23.751707,37.982016
"Athens, Papagou",1690,3,1,23.788147200000026,37.98461669999999
"Berlin, Friedrichshain",2250,1,1,13.4406259,52.5050299
"Copenhagen, Valby",3223,2,1,12.5031502,55.6538785
"Copenhagen, Østerbro",2584,1,1,12.5772024,55.7009297
"Athens, Lycabettus",1060,1,1,23.7415052,37.9848269
"Athens, Lycabettus",1200,2,1,23.7422951,37.9851552
"Athens, Politeia",4270,3,3,23.8249106,38.085528
"Athens, Politeia",4200,4,3,23.8320106,38.0862168
"Barcelona, Vila de Gràcia",1820,2,1,2.1592414,41.3994936
"Barcelona, Antiga Esquerra de l'Eixample",2540,3,2,2.1505687,41.3869029
