"
date","social payments
","buy a car
","Unemployment
","food
","mexico
","fitness club
","vacation
","netflix
","depression
","doctor
","fox news
","sex
","iphone
","find job
","food near me
","insurance
","education
","restaurants around
","petrol price
","rent flat
","children names
","amazon
","good restaurants
","diet
","credit cards
","USA
","travel
","IT
","bitcoin
","anton
","alcohol
","best films
","books
","imagine dragons
","stocks
","harry potter
","online courses
","wedding dress
","clothes
","cheap clothes
","order food
","delivery
","food delivery
","paid jobs
","best banks
","Standford
","Excel
","Facebook
","Trump
","Elon Musk
","car
","loans
","cats
","dogs
","tinder
","bbc
","late night show
","presents
","recipies
","dairy
","walmart
","best songs
","McDonald's
","buy food
","Starbucks
","Taco Bell
","Wendy's
","a
","data science
","news
","booking
","order online
","beauty salon
","GDP
","Inflation
"
2012-05-01,13,60,8.2,49,45,45,57,61,58,50,25,75,46,74,1,64,45,57,61,34,54,38,55,63,64,54,44,56,0,9,50,59,64,7,19,8,56,31,63,72,23,22,30,60,42,35,74,83,1,2,70,14,45,47,1,56,21,24,13,44,39,83,55,69,40,30,26,63,6,43,40,18,69,16207.130,1.885000
2012-06-01,11,64,8.2,52,46,46,66,69,46,50,26,78,51,75,1,71,37,59,23,39,47,40,64,63,64,63,46,56,0,8,51,58,62,11,14,8,56,35,63,72,21,21,30,64,46,30,74,85,1,1,71,15,48,54,1,58,21,24,12,43,42,82,59,67,39,32,24,60,5,44,42,17,72,16207.130,1.759048
2012-07-01,13,68,8.2,54,47,47,61,70,45,51,28,82,52,75,1,70,34,63,18,36,48,42,65,65,70,78,44,57,0,9,51,67,62,15,14,9,56,36,70,91,22,20,33,67,55,30,70,87,1,1,73,15,49,54,1,65,20,20,13,42,45,84,61,75,40,39,24,60,5,48,42,18,70,16319.540,1.767143
2012-08-01,13,69,8.1,50,52,46,50,62,47,54,28,80,54,70,1,71,43,59,15,39,47,44,61,61,67,74,40,56,1,9,55,67,66,23,14,7,57,35,67,100,23,21,31,66,45,28,77,85,1,1,68,15,46,54,1,69,21,22,12,38,42,80,61,73,38,32,23,61,9,44,41,22,69,16319.540,1.906087
2012-09-01,14,64,7.8,50,42,41,38,64,52,59,31,75,100,73,1,64,44,49,28,44,49,45,57,55,64,60,37,55,1,11,53,65,65,39,16,7,53,34,69,87,26,21,30,64,40,42,76,79,1,1,64,13,46,50,1,65,20,24,13,39,42,79,55,72,42,29,20,66,13,47,39,21,61,16319.540,2.139474
2012-10-01,13,54,7.8,52,40,38,35,66,58,55,45,78,60,65,1,66,48,46,17,32,53,42,52,51,60,57,35,58,0,10,48,64,61,32,16,7,52,34,69,88,25,20,28,61,36,39,82,100,3,1,59,12,45,48,1,66,25,27,13,33,41,78,65,66,41,33,25,68,10,56,40,21,66,16420.386,2.174286
2012-11-01,15,57,7.7,52,41,39,36,70,57,50,52,76,57,62,1,65,43,52,14,31,50,58,51,49,66,59,34,58,0,10,51,65,63,32,17,8,49,26,70,88,25,21,29,61,35,40,70,100,1,1,58,12,46,52,1,69,21,50,16,30,75,75,52,71,46,28,18,67,10,57,38,21,58,16420.386,2.048000
2012-12-01,17,57,7.9,48,41,43,46,81,52,53,38,80,57,53,1,54,35,50,11,27,100,66,54,48,62,57,36,55,1,9,52,80,65,49,15,8,44,25,69,82,27,21,32,47,34,32,58,96,1,1,57,12,46,54,1,64,22,82,12,28,72,87,53,75,49,29,17,60,8,53,37,23,59,16420.386,2.095500
2013-01-01,21,58,8.0,52,43,55,58,79,58,59,34,79,51,77,1,66,43,51,16,35,54,50,56,76,64,57,41,58,1,11,55,88,64,52,20,7,63,37,69,80,27,22,33,63,42,34,76,99,1,1,62,14,49,52,8,68,23,21,13,34,42,84,55,72,39,34,23,69,11,49,44,23,56,16629.050,2.190952
2013-02-01,16,63,7.7,50,42,45,54,72,59,54,37,76,49,67,1,65,45,55,13,31,60,47,60,69,54,53,42,59,1,11,55,75,58,70,20,7,53,32,68,89,26,26,32,61,40,31,84,93,1,1,63,12,46,52,9,65,25,22,12,33,42,79,52,68,38,34,19,68,9,52,46,23,65,16629.050,2.233684
